Message Number,Time,Latitude,Longitude,Pressure,Temperature
20,Fri May 14 20:30:39 2021,71.323265,-156.61243,102357.78,-3.75
21,Sat May 15 19:59:34 2021,71.323257,-156.61237,101929.83,-2.38
22,Sun May 16 19:59:31 2021,71.323326,-156.6123,101875.15,-1.69
